iter	Logloss
0	0.6887166293
1	0.6850935639
2	0.6815130222
3	0.6785301495
4	0.6746403601
5	0.6710397101
6	0.6677732964
7	0.664655243
8	0.6607471698
9	0.6576351922
10	0.6543089988
11	0.651422856
12	0.6476142608
13	0.6447708541
14	0.6423109244
15	0.6394361339
16	0.6368075643
17	0.6333110295
18	0.630825088
19	0.6277728367
20	0.6251817597
21	0.6222633179
22	0.6197403017
23	0.6169975408
24	0.6145825542
25	0.6119099782
26	0.6097484595
27	0.6070045542
28	0.6046162639
29	0.6014825601
30	0.5992627217
31	0.5973159273
32	0.5951828146
33	0.5933281652
34	0.5914771433
35	0.5892389585
36	0.5874155772
37	0.5846198796
38	0.5826637438
39	0.5804403618
40	0.5783357448
41	0.5764548986
42	0.5738482997
43	0.5722616928
44	0.5705022686
45	0.5689799805
46	0.5670083423
47	0.5650910063
48	0.5636343584
49	0.5613532058
50	0.5595270873
51	0.5573603927
52	0.5558766363
53	0.5538679242
54	0.5522819729
55	0.5507423485
56	0.5489381315
57	0.5470866818
58	0.5454145767
59	0.5441029564
60	0.5423396365
61	0.5409746691
62	0.5394696794
63	0.5375213043
64	0.5359133652
65	0.5343886371
66	0.5324600794
67	0.531179744
68	0.5291891785
69	0.5276321788
70	0.5261459423
71	0.524307164
72	0.5227882684
73	0.5214093773
74	0.5201284273
75	0.518766245
76	0.5175761264
77	0.516373168
78	0.5153439132
79	0.5140984123
80	0.5129186523
81	0.5116071062
82	0.5103272672
83	0.5091501377
84	0.5079426494
85	0.506456823
86	0.5048442669
87	0.5035513132
88	0.5025853182
89	0.5014139486
90	0.50020586
91	0.4985670034
92	0.4974747156
93	0.496369396
94	0.49534696
95	0.494274572
96	0.4928581418
97	0.4916215279
98	0.4903506781
99	0.4894610829
100	0.4881650537
101	0.4872662932
102	0.4860943734
103	0.4851085285
104	0.4837320545
105	0.4823844512
106	0.4813679511
107	0.4807180127
108	0.4795211816
109	0.4782359719
110	0.4771210635
111	0.4757701908
112	0.4751760758
113	0.4741769371
114	0.4733740187
115	0.472373245
116	0.4712695157
117	0.4705239186
118	0.4695244987
119	0.4684278413
120	0.4673267396
121	0.4662006666
122	0.4651202823
123	0.464065959
124	0.4630092937
125	0.4620569625
126	0.4610168069
127	0.4600987048
128	0.4591983515
129	0.4583625536
130	0.4572300838
131	0.4559941916
132	0.4551989505
133	0.4542202459
134	0.4533916595
135	0.4522395398
136	0.4512777198
137	0.4501957423
138	0.4494631739
139	0.4484728657
140	0.4478368825
141	0.4467164252
142	0.4458375427
143	0.4451650446
144	0.4444845078
145	0.4436547943
146	0.4428715266
147	0.44186171
148	0.4411437967
149	0.4403133829
150	0.4393731967
151	0.4386922275
152	0.4379377858
153	0.4372360524
154	0.4366438747
155	0.4358237482
156	0.4352631703
157	0.4345410164
158	0.4338495861
159	0.4329672614
160	0.4324331998
161	0.4315393508
162	0.4307183221
163	0.4299137158
164	0.4289233219
165	0.4280796369
166	0.4273242592
167	0.4266045642
168	0.4256995471
169	0.4249528592
170	0.4239612713
171	0.4232548966
172	0.4227454505
173	0.4220247356
174	0.4212780026
175	0.4206229128
176	0.4199514379
177	0.4191819655
178	0.4184359788
179	0.4176697528
180	0.4168319261
181	0.4159422468
182	0.4151763571
183	0.4145171817
184	0.4139061699
185	0.4132508562
186	0.412801946
187	0.4118681113
188	0.4113062819
189	0.4107842575
190	0.4099865491
191	0.4091870814
192	0.4085022877
193	0.4075467739
194	0.4069366826
195	0.4062702345
196	0.4056958123
197	0.4049706515
198	0.404426718
199	0.4038221247
200	0.4028730432
201	0.4022145587
202	0.401521522
203	0.4008179185
204	0.400252363
205	0.3997378114
206	0.3991315383
207	0.3985421711
208	0.3978990163
209	0.397388167
210	0.3967216232
211	0.3962116114
212	0.3956720194
213	0.3951022909
214	0.3945239603
215	0.3940653249
216	0.3935057772
217	0.3927927865
218	0.3921605402
219	0.3914146379
220	0.3906943469
221	0.3899090955
222	0.3889372536
223	0.3885441232
224	0.387923039
225	0.3873108243
226	0.3866762006
227	0.3860226128
228	0.3854439612
229	0.3850132887
230	0.3843504059
231	0.3836495655
232	0.3830395947
233	0.3824211995
234	0.3819101121
235	0.3815221099
236	0.3806932871
237	0.3802445692
238	0.3797066525
239	0.3789910682
240	0.3785798991
241	0.3776741091
242	0.3769358456
243	0.3764512632
244	0.3757711191
245	0.3754367211
246	0.374867472
247	0.3741153075
248	0.3736521717
249	0.3732409201
250	0.3728694942
251	0.3723113082
252	0.3716417231
253	0.3709461195
254	0.3704535265
255	0.3698103248
256	0.3692991407
257	0.3688061383
258	0.368314566
259	0.367671428
260	0.3672769124
261	0.3666347638
262	0.3656863258
263	0.3651497453
264	0.3645200084
265	0.3640356059
266	0.3632252147
267	0.3626385017
268	0.3622582238
269	0.3617482297
270	0.3612494422
271	0.360793069
272	0.3602928109
273	0.3598950975
274	0.3592347155
275	0.3587363917
276	0.3579725076
277	0.357521463
278	0.3568718894
279	0.3562863198
280	0.3556504788
281	0.354856964
282	0.3542381854
283	0.3538013412
284	0.3534022664
285	0.352934061
286	0.3524337763
287	0.3522143019
288	0.3517127463
